"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2019","-","-","-","15811.46"
"NIFTY500 MOMENTUM 50","30 Dec 2019","-","-","-","15915.58"
"NIFTY500 MOMENTUM 50","27 Dec 2019","-","-","-","15924.76"
"NIFTY500 MOMENTUM 50","26 Dec 2019","-","-","-","15808.52"
"NIFTY500 MOMENTUM 50","24 Dec 2019","-","-","-","15858.28"
"NIFTY500 MOMENTUM 50","23 Dec 2019","-","-","-","15910.45"
"NIFTY500 MOMENTUM 50","20 Dec 2019","-","-","-","15930.11"
"NIFTY500 MOMENTUM 50","19 Dec 2019","-","-","-","15808.24"
"NIFTY500 MOMENTUM 50","18 Dec 2019","-","-","-","15770.09"
"NIFTY500 MOMENTUM 50","17 Dec 2019","-","-","-","15767.40"
"NIFTY500 MOMENTUM 50","16 Dec 2019","-","-","-","15691.48"
"NIFTY500 MOMENTUM 50","13 Dec 2019","-","-","-","15712.27"
"NIFTY500 MOMENTUM 50","12 Dec 2019","-","-","-","15563.80"
"NIFTY500 MOMENTUM 50","11 Dec 2019","-","-","-","15502.09"
"NIFTY500 MOMENTUM 50","10 Dec 2019","-","-","-","15393.03"
"NIFTY500 MOMENTUM 50","09 Dec 2019","-","-","-","15488.32"
"NIFTY500 MOMENTUM 50","06 Dec 2019","-","-","-","15458.47"
"NIFTY500 MOMENTUM 50","05 Dec 2019","-","-","-","15612.16"
"NIFTY500 MOMENTUM 50","04 Dec 2019","-","-","-","15638.91"
"NIFTY500 MOMENTUM 50","03 Dec 2019","-","-","-","15549.70"
"NIFTY500 MOMENTUM 50","02 Dec 2019","-","-","-","15578.14"
"NIFTY500 MOMENTUM 50","29 Nov 2019","-","-","-","15637.93"
"NIFTY500 MOMENTUM 50","28 Nov 2019","-","-","-","15734.60"
"NIFTY500 MOMENTUM 50","27 Nov 2019","-","-","-","15619.11"
"NIFTY500 MOMENTUM 50","26 Nov 2019","-","-","-","15519.49"
"NIFTY500 MOMENTUM 50","25 Nov 2019","-","-","-","15587.30"
"NIFTY500 MOMENTUM 50","22 Nov 2019","-","-","-","15398.02"
"NIFTY500 MOMENTUM 50","21 Nov 2019","-","-","-","15489.64"
"NIFTY500 MOMENTUM 50","20 Nov 2019","-","-","-","15585.55"
"NIFTY500 MOMENTUM 50","19 Nov 2019","-","-","-","15523.72"
"NIFTY500 MOMENTUM 50","18 Nov 2019","-","-","-","15467.65"
"NIFTY500 MOMENTUM 50","15 Nov 2019","-","-","-","15428.36"
"NIFTY500 MOMENTUM 50","14 Nov 2019","-","-","-","15406.97"
"NIFTY500 MOMENTUM 50","13 Nov 2019","-","-","-","15337.01"
"NIFTY500 MOMENTUM 50","11 Nov 2019","-","-","-","15440.25"
"NIFTY500 MOMENTUM 50","08 Nov 2019","-","-","-","15408.14"
"NIFTY500 MOMENTUM 50","07 Nov 2019","-","-","-","15513.10"
"NIFTY500 MOMENTUM 50","06 Nov 2019","-","-","-","15454.63"
"NIFTY500 MOMENTUM 50","05 Nov 2019","-","-","-","15496.37"
"NIFTY500 MOMENTUM 50","04 Nov 2019","-","-","-","15523.15"
"NIFTY500 MOMENTUM 50","01 Nov 2019","-","-","-","15460.78"
"NIFTY500 MOMENTUM 50","31 Oct 2019","-","-","-","15463.55"
"NIFTY500 MOMENTUM 50","30 Oct 2019","-","-","-","15294.21"
"NIFTY500 MOMENTUM 50","29 Oct 2019","-","-","-","15236.30"
"NIFTY500 MOMENTUM 50","27 Oct 2019","-","-","-","15053.71"
"NIFTY500 MOMENTUM 50","25 Oct 2019","-","-","-","14995.73"
"NIFTY500 MOMENTUM 50","24 Oct 2019","-","-","-","15034.46"
"NIFTY500 MOMENTUM 50","23 Oct 2019","-","-","-","15017.13"
"NIFTY500 MOMENTUM 50","22 Oct 2019","-","-","-","14985.25"
"NIFTY500 MOMENTUM 50","18 Oct 2019","-","-","-","15027.46"
"NIFTY500 MOMENTUM 50","17 Oct 2019","-","-","-","14894.27"
"NIFTY500 MOMENTUM 50","16 Oct 2019","-","-","-","14717.86"
"NIFTY500 MOMENTUM 50","15 Oct 2019","-","-","-","14667.89"
"NIFTY500 MOMENTUM 50","14 Oct 2019","-","-","-","14637.94"
"NIFTY500 MOMENTUM 50","11 Oct 2019","-","-","-","14627.66"
"NIFTY500 MOMENTUM 50","10 Oct 2019","-","-","-","14592.27"
"NIFTY500 MOMENTUM 50","09 Oct 2019","-","-","-","14716.00"
"NIFTY500 MOMENTUM 50","07 Oct 2019","-","-","-","14519.86"
"NIFTY500 MOMENTUM 50","04 Oct 2019","-","-","-","14550.21"
"NIFTY500 MOMENTUM 50","03 Oct 2019","-","-","-","14688.27"
"NIFTY500 MOMENTUM 50","01 Oct 2019","-","-","-","14703.61"
"NIFTY500 MOMENTUM 50","30 Sep 2019","-","-","-","14938.35"
"NIFTY500 MOMENTUM 50","27 Sep 2019","-","-","-","14995.71"
"NIFTY500 MOMENTUM 50","26 Sep 2019","-","-","-","15027.36"
"NIFTY500 MOMENTUM 50","25 Sep 2019","-","-","-","14883.58"
"NIFTY500 MOMENTUM 50","24 Sep 2019","-","-","-","15081.04"
