Name,Ticker,"Sub-Sector","Market Cap"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","2109983.1330932803"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1526299.99583247"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1266129.6194909099"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1186732.705904"
ICICI Bank Ltd,ICICIBANK,"Private Banks","965182.5132192"
State Bank of India,SBIN,"Public Banks","891954.5773351801"
Infosys Ltd,INFY,"IT Services & Consulting","669987.92350256"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","621513.4963"
Larsen and Toubro Ltd,LT,"Construction & Engineering","556738.84632456"
Life Insurance Corporation Of India,LICI,"Insurance","537466.679642475"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","536975.5870174799"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","521782.5118104"
ITC Ltd,ITC,"FMCG - Tobacco","506357.90914496506"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","449358.20390001"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","434788.7677068"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","430480.7179299"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","412565.6480915"
Axis Bank Ltd,AXISBANK,"Private Banks","381354.99081258"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","354108.467792"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","346848.2800058"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","342621.75746358"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","322143.31844032"
NTPC Ltd,NTPC,"Power Generation","314268.94940294"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","295045.288218318"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","294876.273"
Bharat Electronics Ltd,BEL,"Electronic Equipments","291258.137441505"
Wipro Ltd,WIPRO,"IT Services & Consulting","278946.80235681"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","275952.14708763"
Adani Power Ltd,ADANIPOWER,"Power Generation","274209.07401039504"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","269089.440515"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","267312.3770592"
Asian Paints Ltd,ASIANPAINT,"Paints","263273.50729905"
Eternal Ltd,ETERNAL,"Online Services","256360.558368775"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","253318.8211959"
Coal India Ltd,COALINDIA,"Mining - Coal","247834.119670305"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","246884.52837535497"
