"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2014","-","-","-","9165.31"
"NIFTY500 MOMENTUM 50","30 Dec 2014","-","-","-","9002.74"
"NIFTY500 MOMENTUM 50","29 Dec 2014","-","-","-","8933.23"
"NIFTY500 MOMENTUM 50","26 Dec 2014","-","-","-","8818.57"
"NIFTY500 MOMENTUM 50","24 Dec 2014","-","-","-","8801.61"
"NIFTY500 MOMENTUM 50","23 Dec 2014","-","-","-","8821.05"
"NIFTY500 MOMENTUM 50","22 Dec 2014","-","-","-","8868.71"
"NIFTY500 MOMENTUM 50","19 Dec 2014","-","-","-","8854.96"
"NIFTY500 MOMENTUM 50","18 Dec 2014","-","-","-","8749.79"
"NIFTY500 MOMENTUM 50","17 Dec 2014","-","-","-","8455.23"
"NIFTY500 MOMENTUM 50","16 Dec 2014","-","-","-","8560.99"
"NIFTY500 MOMENTUM 50","15 Dec 2014","-","-","-","8856.27"
"NIFTY500 MOMENTUM 50","12 Dec 2014","-","-","-","8880.37"
"NIFTY500 MOMENTUM 50","11 Dec 2014","-","-","-","8989.01"
"NIFTY500 MOMENTUM 50","10 Dec 2014","-","-","-","9085.29"
"NIFTY500 MOMENTUM 50","09 Dec 2014","-","-","-","8993.46"
"NIFTY500 MOMENTUM 50","08 Dec 2014","-","-","-","9126.46"
"NIFTY500 MOMENTUM 50","05 Dec 2014","-","-","-","9223.94"
"NIFTY500 MOMENTUM 50","04 Dec 2014","-","-","-","9218.07"
"NIFTY500 MOMENTUM 50","03 Dec 2014","-","-","-","9182.67"
"NIFTY500 MOMENTUM 50","02 Dec 2014","-","-","-","9066.49"
"NIFTY500 MOMENTUM 50","01 Dec 2014","-","-","-","9004.89"
"NIFTY500 MOMENTUM 50","28 Nov 2014","-","-","-","9022.45"
"NIFTY500 MOMENTUM 50","27 Nov 2014","-","-","-","8997.47"
"NIFTY500 MOMENTUM 50","26 Nov 2014","-","-","-","8967.29"
"NIFTY500 MOMENTUM 50","25 Nov 2014","-","-","-","8945.78"
"NIFTY500 MOMENTUM 50","24 Nov 2014","-","-","-","9040.39"
"NIFTY500 MOMENTUM 50","21 Nov 2014","-","-","-","9056.85"
"NIFTY500 MOMENTUM 50","20 Nov 2014","-","-","-","9139.43"
"NIFTY500 MOMENTUM 50","19 Nov 2014","-","-","-","9158.15"
"NIFTY500 MOMENTUM 50","18 Nov 2014","-","-","-","9224.78"
"NIFTY500 MOMENTUM 50","17 Nov 2014","-","-","-","9149.89"
"NIFTY500 MOMENTUM 50","14 Nov 2014","-","-","-","9065.36"
"NIFTY500 MOMENTUM 50","13 Nov 2014","-","-","-","9028.49"
"NIFTY500 MOMENTUM 50","12 Nov 2014","-","-","-","9011.07"
"NIFTY500 MOMENTUM 50","11 Nov 2014","-","-","-","8933.52"
"NIFTY500 MOMENTUM 50","10 Nov 2014","-","-","-","8862.71"
"NIFTY500 MOMENTUM 50","07 Nov 2014","-","-","-","8797.85"
"NIFTY500 MOMENTUM 50","05 Nov 2014","-","-","-","8764.88"
"NIFTY500 MOMENTUM 50","03 Nov 2014","-","-","-","8728.03"
"NIFTY500 MOMENTUM 50","31 Oct 2014","-","-","-","8615.41"
"NIFTY500 MOMENTUM 50","30 Oct 2014","-","-","-","8480.31"
"NIFTY500 MOMENTUM 50","29 Oct 2014","-","-","-","8368.45"
"NIFTY500 MOMENTUM 50","28 Oct 2014","-","-","-","8301.35"
"NIFTY500 MOMENTUM 50","27 Oct 2014","-","-","-","8287.03"
"NIFTY500 MOMENTUM 50","23 Oct 2014","-","-","-","8317.95"
"NIFTY500 MOMENTUM 50","22 Oct 2014","-","-","-","8252.84"
"NIFTY500 MOMENTUM 50","21 Oct 2014","-","-","-","8159.04"
"NIFTY500 MOMENTUM 50","20 Oct 2014","-","-","-","8049.55"
"NIFTY500 MOMENTUM 50","17 Oct 2014","-","-","-","7921.63"
"NIFTY500 MOMENTUM 50","16 Oct 2014","-","-","-","7892.13"
"NIFTY500 MOMENTUM 50","14 Oct 2014","-","-","-","8176.54"
"NIFTY500 MOMENTUM 50","13 Oct 2014","-","-","-","8174.22"
"NIFTY500 MOMENTUM 50","10 Oct 2014","-","-","-","8105.33"
